iter	Passed	Remaining
401	16387	24378
402	16413	24315
403	16442	24257
404	16468	24194
405	16499	24139
406	16531	24086
407	16559	24027
408	16596	23981
409	16650	23960
410	16687	23915
411	16729	23876
412	16771	23838
413	16811	23795
414	16846	23746
415	16882	23700
416	16916	23650
417	16949	23599
418	16979	23544
419	17007	23486
420	17028	23419
421	17060	23367
422	17109	23338
423	17137	23280
424	17184	23248
425	17229	23214
426	17267	23171
427	17352	23190
428	17400	23160
429	17435	23112
430	17479	23076
431	17511	23024
432	17547	22978
433	17598	22950
434	17734	23034
435	17781	23001
436	17830	22971
437	17858	22913
438	17892	22865
439	17951	22847
440	17983	22795
441	18043	22779
442	18086	22740
443	18124	22696
444	18167	22658
445	18201	22609
446	18237	22562
447	18307	22557
448	18384	22560
449	18420	22514
450	18456	22467
451	18503	22433
452	18562	22414
453	18697	22486
454	18848	22577
455	18909	22558
456	18969	22538
457	19013	22500
458	19047	22450
459	19085	22404
460	19137	22374
461	19178	22333
462	19276	22357
463	19358	22362
464	19411	22334
465	19450	22288
466	19494	22250
467	19536	22208
468	19573	22161
469	19610	22113
470	19645	22064
471	19700	22037
472	19796	22056
473	19842	22019
474	19871	21963
475	19937	21947
476	19978	21905
477	20016	21858
478	20053	21811
479	20079	21752
480	20102	21690
481	20127	21630
482	20160	21579
483	20200	21535
484	20225	21477
485	20260	21427
486	20303	21387
487	20347	21347
488	20378	21295
489	20410	21243
490	20444	21193
491	20484	21150
492	20512	21095
493	20537	21036
494	20568	20983
495	20604	20936
496	20634	20883
497	20661	20827
498	20689	20772
499	20728	20728
500	20756	20673
501	20792	20626
502	20826	20578
503	20856	20525
504	20887	20473
505	20926	20430
506	20945	20367
507	20969	20308
508	20993	20250
509	21023	20198
510	21049	20143
511	21076	20088
512	21097	20028
513	21129	19978
514	21153	19921
515	21183	19869
516	21205	19810
517	21251	19774
518	21272	19715
519	21311	19672
520	21347	19626
521	21373	19571
522	21395	19514
523	21430	19467
524	21457	19413
525	21497	19372
526	21546	19338
527	21601	19310
528	21664	19289
529	21761	19298
530	21795	19250
531	21826	19201
532	21863	19156
533	21899	19111
534	21932	19062
535	21980	19027
536	22005	18973
537	22033	18920
538	22074	18880
539	22116	18840
540	22165	18805
541	22202	18761
542	22231	18710
543	22262	18661
544	22297	18614
545	22323	18561
546	22353	18512
547	22386	18464
548	22419	18417
549	22458	18374
550	22533	18362
551	22606	18347
552	22730	18373
553	22839	18386
554	22940	18393
555	22998	18366
556	23046	18329
557	23082	18284
558	23117	18237
559	23200	18228
560	23229	18177
561	23261	18129
562	23296	18082
563	23322	18029
564	23356	17982
565	23385	17931
566	23441	17901
567	23474	17853
568	23514	17811
569	23541	17759
570	23564	17704
571	23597	17656
572	23639	17616
573	23667	17564
574	23704	17520
575	23770	17497
576	23818	17461
577	23895	17446
578	23967	17427
579	24033	17403
580	24081	17366
581	24140	17338
582	24234	17333
583	24297	17307
584	24340	17267
585	24374	17219
586	24404	17170
587	24443	17126
588	24467	17073
589	24498	17024
590	24525	16972
591	24571	16934
592	24599	16883
593	24634	16837
594	24676	16796
595	24701	16744
596	24725	16690
597	24752	16639
598	24781	16589
599	24821	16547
600	24863	16506
601	24910	16468
602	24942	16421
603	24977	16376
604	25003	16324
605	25039	16279
606	25075	16234
607	25132	16204
608	25180	16166
609	25212	16119
610	25241	16070
611	25291	16034
612	25316	15982
613	25343	15932
614	25365	15879
615	25395	15831
616	25420	15779
617	25458	15736
618	25495	15692
619	25521	15642
620	25562	15600
621	25626	15573
622	25654	15524
623	25708	15491
624	25761	15457
625	25803	15415
626	25841	15372
627	25897	15340
628	25941	15300
629	26003	15271
630	26214	15329
631	26294	15310
632	26394	15302
633	26564	15335
634	26733	15366
635	26914	15404
636	27045	15411
637	27129	15393
638	27194	15363
639	27263	15335
640	27321	15301
