iter	RMSE
190	2.0401165
191	2.039912148
192	2.039500423
193	2.03932099
194	2.038741797
195	2.038292952
196	2.037776705
197	2.037267805
198	2.03669589
199	2.036501902
200	2.036071711
201	2.035669059
202	2.035484117
203	2.035126391
204	2.03475017
205	2.034422974
206	2.033907698
207	2.03365573
208	2.033159496
209	2.03287809
210	2.032584586
211	2.032187296
212	2.031951633
213	2.031525322
214	2.031284552
215	2.031178
216	2.0309567
217	2.030754018
218	2.030296223
219	2.029854565
220	2.029297437
221	2.028960297
222	2.028558499
223	2.028464626
224	2.028299881
225	2.028161724
226	2.027746125
227	2.027227242
228	2.026874876
229	2.026720827
230	2.026262526
231	2.025793293
232	2.025666348
233	2.025591342
234	2.025216784
235	2.024843821
236	2.024571142
237	2.024112237
238	2.024088225
239	2.023699171
240	2.023634334
241	2.023239083
242	2.023144569
243	2.02275527
244	2.022375199
245	2.022235682
246	2.022183917
247	2.021848321
248	2.021793343
249	2.021424746
250	2.020969146
251	2.020717875
252	2.020410887
253	2.019999639
254	2.01970816
255	2.01945439
256	2.019199745
257	2.018880345
258	2.018800426
259	2.018734783
260	2.018493226
261	2.018218657
262	2.018170481
263	2.017850474
264	2.017484947
265	2.017284736
266	2.016927806
267	2.016629641
268	2.016611192
269	2.016310867
270	2.016011577
271	2.015549159
272	2.01534857
273	2.015024881
274	2.014759168
275	2.014453377
276	2.014048254
277	2.013853847
278	2.013523737
279	2.013324754
280	2.012991961
281	2.01268049
282	2.012440525
283	2.0123702
284	2.012134492
285	2.011844582
286	2.011789048
287	2.011610132
288	2.011297522
289	2.011085781
290	2.010940455
291	2.010899336
292	2.010669853
293	2.010301129
294	2.009968132
295	2.009809575
296	2.009635735
297	2.009599506
298	2.009421418
299	2.009009039
300	2.008785532
301	2.008555946
302	2.00824284
303	2.00812875
304	2.00799279
305	2.007720856
306	2.007509594
307	2.007254668
308	2.00680279
309	2.006775861
310	2.006537745
311	2.006410569
312	2.00617017
313	2.006151913
314	2.006052327
315	2.005714235
316	2.00562618
317	2.005560332
318	2.005258199
319	2.004883883
320	2.004533339
321	2.004498651
322	2.004437319
323	2.004138949
324	2.003831146
325	2.00377015
326	2.003509879
327	2.003334364
328	2.003305125
329	2.003238427
330	2.00295273
331	2.002878081
332	2.002563498
333	2.00224418
334	2.001735036
335	2.001316548
336	2.001151037
337	2.000742842
338	2.000554468
339	2.000524521
340	2.000498596
341	2.00046352
342	2.000326526
343	2.000021336
344	1.999625768
345	1.999474113
346	1.999365189
347	1.999082334
348	1.998838363
349	1.998489992
350	1.998242297
351	1.99794887
352	1.997921244
353	1.997742984
354	1.997615594
355	1.997365885
356	1.997175296
357	1.996859789
358	1.9967869
359	1.996578339
360	1.996316973
361	1.996071214
362	1.995844492
363	1.995556304
364	1.995323166
365	1.995092939
366	1.994731251
367	1.994477288
368	1.994415119
369	1.994114494
370	1.993820751
371	1.993520967
372	1.993209915
373	1.993151625
374	1.992898093
375	1.992861165
376	1.992563112
377	1.992288512
378	1.992179491
379	1.992095948
380	1.991851443
381	1.99182588
382	1.99176305
383	1.991742161
384	1.991704317
385	1.991415534
386	1.990982758
387	1.990709777
388	1.990417256
389	1.990226591
390	1.989972219
391	1.989749391
392	1.989552967
393	1.989329283
394	1.989082188
395	1.989059821
396	1.988844349
397	1.988702115
398	1.988676811
399	1.988504329
400	1.9881843
401	1.987915411
402	1.987812275
403	1.987624624
404	1.987404342
405	1.987299809
406	1.987211758
407	1.987118502
408	1.986865012
409	1.986636217
410	1.986523251
411	1.986505543
412	1.986408718
413	1.986120371
414	1.985834169
415	1.98556782
416	1.985228256
417	1.98521684
418	1.985199228
419	1.985073748
420	1.984874143
421	1.984821749
422	1.984568154
423	1.98418748
424	1.983933341
425	1.983663476
426	1.983396739
427	1.982996914
428	1.982874819
429	1.982577837
430	1.982322296
431	1.982116646
432	1.981898129
433	1.981720233
434	1.981401413
435	1.980975016
436	1.980689865
437	1.980572622
438	1.980272603
439	1.980095614
440	1.97984069
441	1.979695208
442	1.979495077
443	1.979292162
444	1.979043837
445	1.978772376
446	1.978573164
447	1.978249342
448	1.978188184
449	1.978063911
450	1.977875523
451	1.977574143
452	1.977391159
453	1.9773807
454	1.977181207
455	1.977055579
456	1.97681578
457	1.97681133
458	1.976549923
459	1.976396349
460	1.976135182
461	1.976084299
462	1.975882811
463	1.975661552
464	1.975657742
465	1.975653698
466	1.975340084
467	1.975300472
468	1.975064063
469	1.974775101
470	1.974609777
471	1.974297458
472	1.974125157
473	1.974004628
474	1.973875959
475	1.97363766
476	1.97333778
477	1.973022014
478	1.972776787
479	1.972679285
480	1.972463939
481	1.972271283
482	1.972008371
483	1.971883408
484	1.971880254
485	1.971488579
486	1.971309318
487	1.971144993
488	1.970935184
489	1.97066134
490	1.970413557
491	1.97020647
492	1.969838813
493	1.969614272
494	1.969605168
495	1.969419993
496	1.969175352
497	1.968940741
498	1.96873521
499	1.968540284
500	1.968335934
501	1.968050699
502	1.96801571
503	1.967818275
504	1.967591865
505	1.967394355
506	1.9672592
507	1.967195116
508	1.96690737
509	1.966626777
510	1.96637584
511	1.966350258
512	1.966317092
513	1.966169309
514	1.966030386
515	1.965839972
516	1.965620899
517	1.965450387
518	1.96532649
519	1.965122534
520	1.965094826
521	1.964909722
522	1.964685197
523	1.964491369
524	1.964402401
525	1.964179336
526	1.964005542
527	1.963797883
528	1.963545151
529	1.963278084
530	1.962800468
531	1.962555301
532	1.962331357
533	1.962134858
534	1.961910288
535	1.961681969
536	1.961676868
537	1.961466674
538	1.96129834
539	1.960945198
540	1.960709236
541	1.960493211
542	1.960428781
543	1.960411012
544	1.960332936
545	1.960135055
546	1.959920305
547	1.959714921
548	1.959673415
549	1.959405456
550	1.959176273
551	1.958931693
552	1.958740407
553	1.958739177
554	1.958505773
555	1.958224427
556	1.958153478
557	1.958060207
558	1.957880389
559	1.957533614
560	1.957473648
561	1.957454651
562	1.957286603
563	1.957106062
564	1.956832205
565	1.956488657
566	1.95634066
567	1.956150804
568	1.955940055
569	1.955621785
570	1.955266036
571	1.95499107
572	1.954677649
573	1.954418057
574	1.954311424
575	1.954098959
576	1.953956005
577	1.953941645
578	1.953939184
579	1.953703253
580	1.953666857
581	1.953617175
582	1.953477313
583	1.953171006
584	1.952901775
585	1.952672377
586	1.952490009
587	1.952372646
588	1.952201108
589	1.952069468
590	1.951851647
591	1.951654916
592	1.951353202
593	1.951190299
594	1.951057705
595	1.950863551
596	1.950648518
597	1.950379909
598	1.950174519
599	1.949972426
600	1.949778288
601	1.949677336
602	1.949496385
603	1.949265108
604	1.949095746
605	1.948948287
606	1.948861758
607	1.9488147
608	1.948666863
609	1.948505291
610	1.94833279
611	1.948093509
612	1.947873139
613	1.94783428
614	1.947576558
615	1.947394715
616	1.9473767
617	1.947134374
618	1.946923851
619	1.946793203
620	1.94661342
621	1.946484648
622	1.946332983
623	1.946163137
624	1.946007913
625	1.94581117
626	1.945807617
627	1.945551055
628	1.945394522
629	1.945366249
630	1.945212647
631	1.944928795
632	1.944706289
633	1.944574487
634	1.944299072
635	1.944106084
636	1.943906379
637	1.943778144
638	1.943592315
639	1.943563234
640	1.943369386
641	1.943364854
642	1.943129192
643	1.94295078
644	1.942732164
645	1.942698892
646	1.942581405
647	1.942349538
648	1.942149904
649	1.941970945
650	1.941927486
651	1.941903702
652	1.941749114
653	1.941549618
654	1.941416573
655	1.941208169
656	1.941059481
657	1.940611242
658	1.940455306
659	1.940259845
660	1.940085211
661	1.939865875
662	1.939648248
663	1.93954093
664	1.939330446
665	1.939102838
666	1.939017511
667	1.938783082
668	1.9386639
669	1.938518521
670	1.938382476
671	1.938296959
672	1.938066647
673	1.93787477
674	1.937637421
675	1.937370232
676	1.937204894
677	1.937020355
678	1.936893328
679	1.936728524
680	1.936506811
681	1.936329893
682	1.936061926
683	1.936048896
684	1.935790696
685	1.935613072
686	1.935423767
687	1.935210625
688	1.935119928
689	1.934988076
690	1.934956535
691	1.934907979
692	1.934802776
693	1.934601354
694	1.934524355
695	1.934440363
696	1.934288121
697	1.934184628
698	1.934011282
699	1.933947093
700	1.933776183
701	1.933549944
702	1.933410009
703	1.93323419
704	1.933023394
705	1.932857847
706	1.932735116
707	1.932701027
708	1.932513626
709	1.932393884
710	1.932217207
711	1.932027193
712	1.931804462
713	1.93164266
714	1.931638335
715	1.931444375
716	1.931278005
717	1.931196728
718	1.93117758
719	1.93100733
720	1.930847305
721	1.930682905
722	1.93048694
723	1.93025496
724	1.929942697
725	1.929739587
726	1.929504078
727	1.929366544
728	1.929182989
729	1.928948726
730	1.928743664
731	1.928532961
732	1.928391755
733	1.928164058
734	1.927977782
735	1.927786901
736	1.92766438
737	1.927505596
738	1.92732858
739	1.927086978
740	1.926841042
741	1.926669266
742	1.926497667
743	1.926324722
744	1.926117014
745	1.926091247
746	1.92592315
747	1.925728976
748	1.92569099
749	1.925580522
750	1.925296183
751	1.925166243
752	1.924981148
753	1.924604601
754	1.924416594
755	1.924354163
756	1.924114021
757	1.923985968
758	1.923779582
759	1.923581996
760	1.923470417
761	1.923333501
762	1.922954171
763	1.922881001
764	1.922670224
765	1.922450131
766	1.922264535
767	1.922056006
768	1.921803212
769	1.921780095
770	1.921543173
771	1.921268216
772	1.921021124
773	1.920973248
774	1.92083263
775	1.920687044
776	1.920554978
777	1.920379267
778	1.920175389
779	1.919912574
780	1.919812026
781	1.919608459
782	1.919369904
783	1.91934968
784	1.919117126
785	1.918766387
786	1.918745529
787	1.918603144
788	1.918388423
789	1.918212683
790	1.918055356
791	1.918045079
792	1.917837116
793	1.91771266
794	1.91753987
795	1.917422601
796	1.917321771
797	1.917018424
798	1.916911527
799	1.916778752
800	1.916616087
801	1.916578141
802	1.916401549
803	1.916327762
804	1.916141211
805	1.916116519
806	1.916026025
807	1.915961381
808	1.915871539
809	1.915704508
810	1.915568721
811	1.915357244
812	1.915157093
813	1.915133606
814	1.914814981
815	1.914623456
816	1.914598529
817	1.914289733
818	1.914085498
819	1.913767659
820	1.913639144
821	1.913606265
822	1.913356162
823	1.913180379
824	1.912941872
825	1.912778604
826	1.912628197
827	1.912520518
828	1.912471455
829	1.912264567
830	1.912058311
831	1.912029206
832	1.911834356
833	1.911655517
834	1.911401024
835	1.911191757
836	1.910849906
837	1.910685954
838	1.910487699
839	1.910321452
840	1.91020545
841	1.910070345
842	1.909957543
843	1.909849305
844	1.909697559
845	1.909543309
846	1.909376873
847	1.909361212
848	1.909294406
849	1.909176572
850	1.908900064
851	1.908607238
852	1.908479723
853	1.908380361
854	1.908225817
855	1.907993183
856	1.907838604
857	1.907673165
858	1.907636845
859	1.907513757
860	1.907391125
861	1.907109066
862	1.906969821
863	1.906746138
864	1.906732809
865	1.906498415
866	1.906382464
867	1.906140089
868	1.905980563
869	1.905823414
870	1.905635363
871	1.905620938
872	1.905584457
873	1.90556123
874	1.90554875
875	1.905345106
876	1.905079437
877	1.904853434
878	1.904767287
879	1.904643941
880	1.904486807
881	1.904343516
882	1.904111173
883	1.903953807
884	1.903870265
885	1.90357272
886	1.903435722
887	1.903174071
888	1.90301356
889	1.902790052
890	1.902758266
891	1.902542895
892	1.902409897
893	1.902133638
894	1.901977445
895	1.90187345
896	1.901739333
897	1.901607233
898	1.901428726
899	1.901196474
900	1.901065736
901	1.900972152
902	1.900851967
903	1.900744578
904	1.900583773
905	1.900391169
906	1.900244689
907	1.900213528
908	1.900143695
909	1.899980032
910	1.899869887
911	1.8997551
912	1.899622908
913	1.89947548
914	1.899381683
915	1.899200914
916	1.89902774
917	1.898932927
918	1.898769728
919	1.898670215
920	1.898645821
921	1.898486454
922	1.89830885
923	1.898194357
924	1.898103874
925	1.897907315
926	1.897732899
927	1.897545566
928	1.897399497
929	1.897210895
930	1.897124333
931	1.896893667
932	1.896760055
933	1.896637491
934	1.89645955
935	1.89644299
936	1.896295998
937	1.896180444
938	1.896040483
939	1.895765324
940	1.895627586
941	1.89542434
942	1.895292245
943	1.89514685
944	1.895006826
945	1.89496547
946	1.894840858
947	1.89466867
948	1.894376067
949	1.894188079
950	1.893995171
951	1.893854559
952	1.893621283
953	1.893396274
954	1.893318124
955	1.893182554
956	1.892985218
957	1.892723775
958	1.892499884
959	1.892333564
960	1.892117535
961	1.891998651
962	1.891971698
963	1.891758365
964	1.891613813
965	1.891401015
966	1.891173077
967	1.891070678
968	1.891068425
969	1.890960815
970	1.890684423
971	1.890535349
972	1.890348521
973	1.890211867
974	1.890172534
975	1.889996269
976	1.88987664
977	1.889713455
978	1.889646239
979	1.889555823
980	1.88938291
981	1.889308936
982	1.889168705
983	1.889141928
984	1.888967729
985	1.888772757
986	1.888589282
987	1.888489471
988	1.888274647
989	1.888022804
990	1.887849007
991	1.887799745
992	1.887664508
993	1.887535864
994	1.88738939
995	1.887190082
996	1.887153
997	1.887032359
998	1.886972593
999	1.886848683
