iter	Passed	Remaining
399	12820	19230
400	12847	19190
401	12881	19162
402	12917	19136
403	12949	19104
404	12979	19069
405	13007	19030
406	13032	18988
407	13063	18954
408	13092	18918
409	13119	18879
410	13170	18874
411	13205	18846
412	13237	18814
413	13288	18808
414	13338	18802
415	13372	18772
416	13403	18738
417	13443	18717
418	13476	18687
419	13520	18671
420	13567	18659
421	13613	18645
422	13658	18631
423	13696	18606
424	13730	18576
425	13763	18545
426	13791	18506
427	13821	18472
428	13864	18453
429	13904	18431
430	13931	18391
431	13968	18366
432	14002	18335
433	14027	18293
434	14048	18247
435	14072	18204
436	14095	18159
437	14117	18113
438	14142	18072
439	14167	18031
440	14191	17988
441	14218	17950
442	14239	17903
443	14263	17861
444	14287	17818
445	14308	17773
446	14335	17734
447	14366	17701
448	14392	17662
449	14418	17622
450	14441	17579
451	14466	17539
452	14488	17494
453	14509	17449
454	14530	17404
455	14553	17362
456	14580	17323
457	14611	17291
458	14645	17261
459	14673	17225
460	14712	17201
461	14761	17189
462	14794	17158
463	14828	17129
464	14863	17101
465	14909	17084
466	14943	17055
467	14977	17025
468	15043	17031
469	15095	17022
470	15168	17036
471	15204	17008
472	15247	16988
473	15282	16959
474	15318	16930
475	15362	16911
476	15409	16895
477	15437	16859
478	15473	16830
479	15515	16808
480	15543	16771
481	15572	16735
482	15593	16691
483	15616	16649
484	15637	16605
485	15662	16564
486	15692	16530
487	15722	16495
488	15750	16458
489	15801	16446
490	15893	16475
491	15935	16454
492	15985	16439
493	16013	16402
494	16044	16368
495	16065	16324
496	16085	16279
497	16111	16241
498	16139	16204
499	16165	16165
500	16196	16131
501	16216	16087
502	16240	16046
503	16262	16004
504	16284	15962
505	16305	15918
506	16336	15884
507	16359	15843
508	16381	15801
509	16403	15759
510	16427	15720
511	16450	15679
512	16473	15638
513	16493	15595
514	16513	15551
515	16535	15510
516	16558	15469
517	16579	15427
518	16604	15389
519	16626	15347
520	16649	15307
521	16673	15268
522	16694	15225
523	16717	15185
524	16738	15144
525	16761	15104
526	16782	15062
527	16804	15022
528	16825	14980
529	16846	14939
530	16868	14899
531	16889	14857
532	16912	14817
533	16934	14778
534	16958	14739
535	16983	14701
536	17004	14661
537	17026	14621
538	17046	14579
539	17067	14539
540	17091	14501
541	17112	14460
542	17134	14420
543	17160	14384
544	17190	14351
545	17210	14310
546	17231	14270
547	17254	14231
548	17276	14192
549	17295	14150
550	17318	14112
551	17340	14073
552	17371	14041
553	17403	14010
554	17425	13971
555	17448	13934
556	17472	13896
557	17494	13857
558	17516	13819
559	17539	13780
560	17562	13743
561	17587	13707
562	17611	13670
563	17634	13632
564	17655	13593
565	17678	13555
566	17702	13518
567	17724	13480
568	17744	13440
569	17767	13403
570	17790	13366
571	17814	13329
572	17837	13292
573	17863	13257
574	17886	13220
575	17909	13183
576	17931	13145
577	17953	13108
578	17973	13068
579	18000	13035
580	18025	12999
581	18045	12960
582	18070	12925
583	18092	12888
584	18117	12852
585	18139	12815
586	18164	12780
587	18188	12744
588	18225	12717
589	18252	12683
590	18279	12650
591	18309	12618
592	18336	12585
593	18367	12554
594	18388	12516
595	18408	12478
596	18431	12441
597	18453	12405
598	18473	12367
599	18501	12334
600	18522	12296
601	18547	12262
602	18568	12225
603	18590	12188
604	18614	12153
605	18638	12118
606	18663	12083
607	18685	12047
608	18706	12009
609	18729	11974
610	18754	11940
611	18774	11903
612	18797	11867
613	18821	11832
614	18843	11796
615	18868	11761
616	18891	11726
617	18911	11689
618	18932	11653
619	18952	11616
620	18974	11580
621	18996	11544
622	19017	11508
623	19039	11472
624	19064	11438
625	19092	11406
626	19116	11372
627	19139	11337
628	19160	11301
629	19181	11265
630	19204	11230
631	19225	11194
632	19245	11157
633	19268	11123
634	19293	11089
635	19315	11054
636	19339	11020
637	19362	10986
638	19383	10950
639	19408	10917
640	19433	10883
641	19456	10849
642	19484	10818
643	19505	10782
644	19524	10745
645	19546	10711
646	19566	10675
647	19586	10639
648	19611	10606
649	19635	10573
650	19658	10539
651	19685	10506
652	19718	10478
653	19739	10443
654	19759	10407
655	19781	10373
656	19805	10339
657	19828	10305
658	19850	10271
659	19873	10237
660	19896	10204
661	19919	10170
662	19942	10136
663	19964	10102
664	19984	10067
665	20005	10032
666	20025	9997
667	20046	9963
668	20071	9930
669	20094	9897
670	20122	9866
671	20145	9833
672	20168	9799
673	20190	9765
674	20208	9730
675	20230	9696
676	20251	9662
677	20272	9628
678	20296	9595
679	20321	9563
680	20340	9528
681	20363	9494
682	20385	9461
683	20405	9427
684	20427	9393
685	20449	9360
686	20469	9326
687	20491	9292
688	20516	9260
689	20538	9227
690	20560	9193
691	20578	9159
692	20603	9127
693	20625	9094
694	20645	9060
695	20666	9026
696	20691	8994
697	20717	8963
698	20742	8931
699	20770	8901
700	20796	8870
701	20827	8841
702	20854	8810
703	20880	8779
704	20902	8746
705	20929	8715
706	20961	8686
707	20985	8655
708	21008	8622
709	21026	8588
710	21047	8555
711	21069	8522
712	21100	8493
713	21120	8459
714	21146	8429
715	21172	8397
716	21197	8366
717	21219	8333
718	21240	8301
719	21260	8268
720	21283	8235
721	21303	8202
722	21325	8170
723	21350	8139
724	21374	8107
725	21395	8075
726	21417	8042
727	21438	8010
728	21460	7977
729	21480	7944
730	21503	7912
731	21523	7880
732	21544	7847
733	21568	7816
734	21592	7785
735	21614	7753
